指标,卡方统计量,P值,显著性水平,符合Benford律
TATA,476.65,0.000,0.05,否
GMI,13973.55,0.000,0.05,否
SGAI,59338.90,0.000,0.05,否
DEPI,102363.63,0.000,0.05,否
